mutation,date,min_x,max_x,min_y,max_y
HO1738,1971-10-15,2684421.753,2684554.217,1247206.010,1247345.189
HO1739,1971-08-26,2686983.639,2687249.678,1248339.467,1248517.379
HO1744,1972-07-06,2685810.212,2686370.045,1248227.723,1248440.892
HO1745,1972-07-25,2684906.184,2684958.453,1247241.975,1247291.351
HO1747,1973-04-25,,,,
HO1748,1973-04-26,2685297.133,2685820.957,1247589.392,1248026.826
HO1749,1973-04-25,2685004.182,2685045.442,1246938.630,1246964.985
HO1750,1973-11-21,2685022.238,2685045.031,1247122.907,1247150.347
HO1751,1974-01-09,2684707.182,2684732.208,1247706.322,1247739.063
HO1752,1974-01-29,2684876.381,2684909.059,1246788.492,1246816.335
HO1754,1974-08-16,2684837.993,2684881.727,1246776.774,1246823.075
HO1755,1974-10-21,2684540.185,2684716.164,1247313.612,1247430.149
HO1756,1974-07-30,2684614.909,2684658.545,1246864.491,1246913.825
HO1768,1974-12-16,2683967.537,2684011.038,1246786.467,1246811.073
HO1773,1975-08-22,2683957.813,2684466.038,1247003.636,1247277.885
HO1779,1975-05-14,2684737.311,2684778.268,1246964.961,1247012.883
HO1782,1975-06-23,2684083.915,2684140.786,1246927.210,1246985.127
HO1789,1975-08-04,2685285.192,2685326.218,1246860.282,1247088.280
HO1794,1975-10-20,2684389.538,2684457.888,1247231.575,1247287.735
HO1800,1975-12-17,2685039.571,2685093.219,1247246.707,1247289.125
HO1801,1975-12-16,2685352.527,2685815.786,1247452.107,1247664.287
HO1802,1976-01-12,2683869.065,2683940.505,1247140.050,1247205.105
HO1803,1976-03-16,2684116.616,2684233.898,1246603.230,1246677.966
HO1806,1976-09-08,2683971.000,2684007.863,1247120.177,1247153.876
HO1809,1976-07-20,2685108.779,2685191.000,1247752.047,1247849.102
HO1810,1976-12-20,2685096.186,2685129.078,1246984.304,1247062.892
HO1811,1976-06-24,2684077.633,2684195.570,1246747.777,1246836.338
HO1812,1976-06-28,2683860.979,2684118.269,1246663.393,1246744.860
HO1813,1976-08-12,2684592.059,2684616.448,1246593.113,1246628.858
HO1816,1976-10-22,2685136.156,2685168.267,1247409.131,1247435.683
HO1817,1976-10-25,2685235.719,2685326.707,1247236.720,1247299.136
HO1818,1977-01-31,2684286.814,2684461.024,1247263.084,1247424.256
HO1820,1976-12-14,2683861.750,2684267.391,1246640.819,1246822.942
HO1821,1977-02-09,2685226.273,2685328.264,1247579.489,1247817.660
HO1824,1977-06-14,2684227.004,2684406.707,1246670.234,1246825.930
HO1828,1977-09-15,2684752.742,2684826.198,1247425.417,1247499.781
HO1829,1977-10-25,2685824.424,2685937.842,1247363.572,1247572.462
HO1841,1978-07-17,2684237.127,2684372.444,1247069.086,1247131.397
HO1844,1978-09-26,2684385.317,2684438.253,1246892.697,1246947.067
HO1850,1978-11-13,2685049.488,2685193.457,1247287.022,1247452.034
HO1856,1979-01-24,2685144.028,2685373.978,1246761.989,1246880.355
HO1861,1979-06-25,2685026.557,2685132.625,1246973.409,1246988.514
