point,type,protection,x,y,created_by,created
AA3514,Bolzen,,2683485.366,1247454.572,EN503,1949-09-05
AA3515,Bolzen,,2683468.066,1247457.400,EN503,1949-09-05
AA3516,Bolzen,,2683485.523,1247461.806,EN503,1949-09-05
AA3517,Bolzen,,2683487.508,1247458.601,EN503,1949-09-05
AA3518,Bolzen,,2683504.047,1247465.723,EN503,1949-09-05
AA3519,Bolzen,,2683486.844,1247436.118,EN503,1949-09-05
AA3520,Bolzen,,2683497.958,1247438.744,EN503,1949-09-05
AA3521,Bolzen,,2683500.363,1247436.828,EN503,1949-09-05
AA3523,Bolzen,,2683508.418,1247424.706,EN503,1949-09-05
AA3524,Bolzen,,2683542.791,1247434.968,EN503,1949-09-05
AA3525,Stein,,2683537.844,1247456.837,EN503,1949-09-05
AA3526,Bolzen,,2683547.689,1247455.806,EN503,1949-09-05
AA3527,Bolzen,,2683557.307,1247459.947,EN503,1949-09-05
AA3528,Bolzen,,2683548.989,1247460.587,EN503,1949-09-05
AA3529,Bolzen,,2683543.452,1247463.933,EN503,1949-09-05
AA3530,Bolzen,,2683538.353,1247478.630,EN503,1949-09-05
AA3531,Bolzen,,2683646.070,1247475.757,EN503,1949-09-05
AA3532,Bolzen,,2683625.820,1247497.420,EN503,1949-09-05
AA3533,Bolzen,,2683619.265,1247493.359,EN503,1949-09-05
AA3534,Stein,,2683609.355,1247485.860,EN503,1949-09-05
AA3535,Bolzen,,2683597.147,1247500.455,EN503,1949-09-05
AA3536,Stein,,2683596.219,1247512.816,EN503,1949-09-05
AA3537,Bolzen,,2683585.208,1247526.549,EN503,1949-09-05
AA3538,Bolzen,,2683584.735,1247536.733,EN503,1949-09-05
AA3540,Bolzen,,2683594.334,1247542.457,EN503,1949-09-05
AA3541,Bolzen,,2683599.845,1247531.570,EN503,1949-09-05
AA3543,Stein,,2683612.819,1247529.185,EN503,1949-09-05
AA3544,Bolzen,,2683617.934,1247534.130,EN503,1949-09-05
AA3545,Bolzen,,2683631.637,1247545.428,EN503,1949-09-05
AA3546,Bolzen,,2683622.712,1247555.360,EN503,1949-09-05
